substitution_id,order_id,order_item_id,original_product_id,substitute_product_id,price_difference,is_accepted
75,468,874,1010,1022,-14.0,1
76,473,883,1128,1121,342.0,1
77,479,893,1057,1043,-76.0,1
78,482,899,1038,1026,160.0,0
79,484,902,1024,1002,-50.0,0
80,486,908,1027,1030,170.0,0
81,491,915,1114,1121,393.0,1
82,494,922,1029,1027,-194.0,1
83,495,925,1041,1035,-12.0,1
84,506,947,1003,1005,28.0,1
85,510,953,1105,1098,-24.0,1
86,519,966,1027,1039,138.0,1
87,524,974,1024,1008,-185.0,0
88,543,1013,1024,1013,-139.0,1
89,548,1020,1111,1112,550.0,0
90,550,1026,1009,1013,-72.0,1
91,558,1038,1011,1024,15.0,0
92,563,1047,1136,1129,256.0,0
93,564,1051,1024,1003,-109.0,1
94,565,1055,1091,1089,-157.0,1
95,567,1060,1136,1133,193.0,0
96,570,1065,1029,1027,-194.0,0
97,570,1066,1082,1081,-93.0,1
98,605,1125,1050,1046,-94.0,0
99,606,1130,1024,1008,-185.0,1
100,614,1142,1010,1019,-30.0,0
101,616,1144,1145,1143,-885.0,1
102,621,1154,1024,1001,-200.0,1
103,626,1163,1038,1032,123.0,1
104,631,1172,1003,1005,28.0,1
105,641,1186,1029,1025,-63.0,1
106,641,1187,1072,1059,368.0,0
107,646,1195,1003,1017,71.0,0
108,649,1199,1004,1013,61.0,0
109,663,1226,1136,1137,139.0,1
110,663,1227,1142,1143,112.0,1
111,668,1239,1086,1090,243.0,1
112,676,1252,1024,1004,-200.0,1
113,681,1260,1136,1133,193.0,1
114,688,1271,1018,1020,-74.0,1
115,694,1283,1023,1010,167.0,0
116,698,1292,1007,1010,146.0,1
117,706,1309,1036,1026,152.0,1
118,706,1310,1145,1137,-612.0,1
119,713,1323,1143,1134,676.0,0
120,717,1333,1050,1043,-45.0,1
121,734,1363,1049,1053,-22.0,1
122,736,1369,1054,1050,76.0,1
123,740,1377,1038,1031,109.0,0
124,744,1382,1054,1046,-18.0,1
125,758,1409,1049,1050,66.0,0
126,802,1491,1019,1020,-121.0,1
127,803,1495,1093,1091,23.0,1
128,804,1499,1025,1033,107.0,0
129,811,1506,1010,1024,-18.0,1
130,834,1554,1132,1133,290.0,0
131,837,1560,1004,1007,72.0,0
132,844,1571,1061,1062,-251.0,0
133,849,1586,1082,1081,-93.0,0
134,852,1594,1012,1002,-6.0,0
135,865,1620,1068,1075,-109.0,0
136,866,1624,1019,1003,-97.0,1
137,869,1627,1098,1104,138.0,0
138,874,1635,1142,1129,502.0,0
139,880,1641,1046,1044,-1.0,1
140,885,1651,1128,1127,426.0,1
141,909,1703,1128,1126,169.0,1
142,913,1710,1047,1055,-11.0,1
143,914,1712,1032,1025,2.0,1
144,924,1731,1132,1143,-37.0,1
145,926,1737,1132,1145,848.0,0
146,929,1747,1024,1003,-109.0,1
147,932,1753,1086,1083,203.0,0
148,940,1768,1032,1026,37.0,0
149,942,1771,1038,1032,123.0,0
150,949,1786,1139,1135,980.0,1
151,954,1794,1029,1037,-122.0,1
152,955,1800,1007,1017,90.0,0
153,968,1823,1016,1021,53.0,1
154,970,1827,1047,1055,-11.0,1
155,978,1840,1022,1001,-204.0,1
156,979,1841,1020,1018,74.0,1
157,981,1845,1024,1002,-50.0,1
158,991,1864,1013,1015,18.0,0
159,995,1869,1016,1002,7.0,1
160,996,1872,1074,1062,-94.0,0
161,997,1875,1053,1055,54.0,1
162,1005,1889,1118,1119,79.0,0
163,1008,1894,1046,1055,60.0,0
164,1014,1906,1061,1073,-220.0,1
165,1018,1916,1025,1031,-16.0,1
166,1027,1927,1024,1002,-50.0,1
167,1031,1938,1055,1051,67.0,0
168,1038,1950,1086,1081,-25.0,0
169,1046,1962,1072,1070,227.0,1
170,1063,1998,1024,1022,4.0,1
171,1066,2004,1142,1130,232.0,1
172,1070,2010,1083,1086,-203.0,1
173,1080,2027,1012,1018,-15.0,1
174,1088,2041,1027,1026,166.0,0
175,1090,2044,1046,1049,28.0,1
176,1103,2071,1083,1088,-25.0,1
177,1112,2090,1070,1060,-92.0,1
178,1122,2102,1021,1004,-196.0,0
179,1124,2106,1025,1033,107.0,1
180,1131,2114,1047,1044,-72.0,0
181,1132,2115,1013,1015,18.0,0
182,1140,2137,1024,1013,-139.0,1
183,1146,2149,1027,1030,170.0,0
184,1152,2158,1086,1087,279.0,0
185,1157,2166,1030,1027,-170.0,1
186,1163,2176,1114,1123,52.0,1
187,1164,2179,1104,1098,-138.0,0
188,1168,2187,1143,1146,652.0,0
189,1169,2191,1038,1032,123.0,1
190,1169,2192,1132,1130,83.0,0
191,1171,2194,1136,1134,542.0,0
192,1174,2201,1025,1039,7.0,0
193,1180,2211,1019,1008,-173.0,1
194,1184,2221,1072,1074,77.0,0
195,1191,2233,1050,1048,11.0,0
196,1194,2240,1024,1002,-50.0,1
197,1198,2251,1025,1038,-125.0,1
198,1202,2259,1016,1012,13.0,1
199,1208,2270,1136,1145,751.0,1
200,1209,2273,1086,1089,92.0,0
201,1210,2275,1027,1032,129.0,1
202,1223,2300,1018,1002,9.0,1
203,1226,2305,1010,1004,-218.0,0
204,1231,2317,1086,1087,279.0,0
205,1242,2338,1061,1068,-40.0,1
206,1243,2340,1143,1141,405.0,0
207,1243,2341,1086,1085,138.0,1
208,1246,2344,1010,1021,-22.0,0
209,1248,2348,1058,1047,18.0,1
210,1256,2363,1011,1013,-124.0,0
211,1257,2365,1053,1048,99.0,0
212,1270,2392,1061,1063,-145.0,1
213,1277,2405,1055,1049,-32.0,1
214,1285,2420,1072,1059,368.0,0
215,1286,2424,1012,1019,32.0,1
216,1294,2440,1143,1134,676.0,0
217,1300,2451,1051,1053,-121.0,1
218,1303,2456,1003,1018,50.0,0
219,1304,2457,1072,1062,-17.0,0
220,1309,2466,1110,1096,-326.0,0
221,1315,2478,1009,1014,-75.0,1
222,1317,2481,1035,1034,-227.0,1
223,1323,2493,1143,1137,273.0,0
224,1325,2499,1055,1043,-11.0,0
225,1332,2509,1024,1002,-50.0,1
226,1344,2534,1110,1098,22.0,1
227,1346,2536,1033,1032,-109.0,0
228,1347,2538,1046,1057,125.0,0
229,1353,2548,1055,1050,34.0,0
230,1363,2569,1143,1139,-176.0,1
231,1364,2572,1128,1114,-51.0,0
232,1372,2586,1027,1038,6.0,0
233,1373,2587,1140,1138,64.0,1
234,1404,2642,1131,1141,521.0,1
235,1414,2659,1143,1136,134.0,1
236,1420,2667,1128,1117,-146.0,1
237,1435,2697,1042,1032,-62.0,1
238,1447,2723,1114,1117,-95.0,1
239,1459,2737,1019,1003,-97.0,1
240,1459,2738,1007,1006,-77.0,1
241,1467,2753,1050,1058,-41.0,1
242,1481,2776,1111,1098,539.0,1
243,1489,2792,1013,1019,127.0,1
244,1514,2838,1019,1004,-188.0,1
245,1517,2843,1107,1108,-267.0,0
246,1520,2847,1145,1143,-885.0,1
247,1530,2864,1139,1146,828.0,0
248,1539,2878,1086,1090,243.0,0
249,1541,2881,1131,1130,236.0,0
250,1544,2884,1051,1044,-128.0,1
251,1546,2888,1128,1126,169.0,0
252,1553,2898,1029,1030,-24.0,1
253,1556,2902,1029,1031,-79.0,1
254,1570,2924,1061,1075,-149.0,1
255,1587,2951,1044,1050,95.0,0
256,1606,2987,1011,1008,-170.0,1
257,1608,2991,1033,1030,-68.0,1
258,1617,3003,1129,1132,-353.0,0
259,1625,3016,1042,1025,-60.0,1
260,1638,3041,1082,1089,24.0,0
261,1641,3049,1143,1140,-19.0,1
262,1643,3051,1131,1138,161.0,0
263,1663,3088,1031,1032,14.0,0
264,1666,3093,1053,1049,22.0,1
265,1672,3109,1128,1114,-51.0,1
266,1675,3116,1030,1034,-144.0,1
267,1681,3125,1009,1017,29.0,1
268,1685,3132,1128,1121,342.0,0
269,1692,3142,1142,1136,246.0,1
270,1713,3179,1143,1131,-116.0,1
271,1714,3181,1036,1037,58.0,0
272,1716,3185,1030,1028,97.0,0
273,1727,3206,1029,1025,-63.0,1
274,1733,3214,1013,1017,101.0,1
275,1749,3240,1011,1021,11.0,0
276,1751,3244,1110,1097,-241.0,0
277,1758,3261,1022,1011,-19.0,1
278,1759,3265,1038,1035,247.0,0
279,1762,3270,1016,1003,-52.0,0
280,1766,3281,1082,1089,24.0,0
281,1775,3292,1051,1046,-127.0,1
282,1778,3296,1129,1134,286.0,0
283,1787,3309,1018,1006,-146.0,1
284,1800,3330,1027,1040,30.0,1
285,1801,3333,1018,1014,-83.0,0
286,1805,3343,1069,1076,-1.0,1
287,1807,3345,1013,1001,-61.0,1
288,1813,3357,1085,1080,-13.0,1
289,1818,3366,1011,1002,-35.0,0
290,1819,3367,1086,1080,125.0,0
291,1834,3397,1093,1094,20.0,0
292,1840,3412,1043,1056,100.0,1
293,1846,3426,1131,1139,-60.0,0
294,1866,3458,1038,1034,20.0,1
295,1867,3461,1128,1121,342.0,0
296,1868,3463,1101,1097,-225.0,1
297,1869,3468,1070,1064,-48.0,0
298,1874,3475,1041,1039,-127.0,0
299,1877,3482,1027,1038,6.0,1
300,1881,3490,1098,1108,-201.0,1
301,1882,3492,1024,1004,-200.0,1
302,1888,3501,1011,1002,-35.0,1
303,1893,3509,1121,1118,-456.0,1
304,1894,3513,1020,1010,151.0,1
305,1895,3515,1019,1009,-55.0,1
306,1901,3525,1027,1038,6.0,1
307,1918,3557,1013,1018,80.0,0
308,1921,3564,1050,1058,-41.0,1
309,1925,3569,1069,1073,-223.0,1
310,1929,3577,1027,1041,265.0,0
311,1934,3588,1061,1063,-145.0,1
312,1937,3594,1132,1144,142.0,1
313,1939,3597,1075,1073,-71.0,1
314,1945,3611,1131,1133,443.0,1
315,1946,3615,1072,1071,347.0,0
316,1950,3622,1055,1053,-54.0,1
317,1961,3643,1013,1016,82.0,1
318,1963,3648,1057,1051,2.0,0
319,1966,3655,1027,1041,265.0,1
320,1972,3668,1054,1049,10.0,1
321,1980,3686,1082,1083,135.0,1
322,1991,3708,1119,1124,310.0,0
323,1996,3723,1107,1101,-104.0,0
324,2002,3731,1047,1057,54.0,0
325,2002,3733,1038,1040,24.0,0
326,2002,3734,1137,1133,54.0,0
327,2011,3754,1004,1015,79.0,0
328,2011,3755,1007,1008,-57.0,1
329,2018,3766,1043,1053,-43.0,0
330,2020,3769,1024,1008,-185.0,1
331,2022,3771,1136,1143,-134.0,1
332,2024,3775,1143,1142,-112.0,0
333,2031,3790,1058,1056,96.0,0
334,2032,3792,1132,1138,8.0,0
335,2070,3867,1053,1058,47.0,1
336,2071,3868,1046,1047,71.0,0
337,2081,3891,1046,1057,125.0,0
338,2084,3895,1008,1020,52.0,0
339,2090,3904,1024,1015,-121.0,1
340,2092,3908,1024,1015,-121.0,0
341,2095,3914,1009,1022,71.0,1
342,2102,3928,1140,1139,-157.0,1
343,2135,3988,1082,1086,-68.0,1
344,2143,4008,1016,1015,-64.0,0
345,2145,4010,1081,1094,271.0,1
346,2147,4015,1050,1058,-41.0,1
347,2149,4019,1003,1012,65.0,0
348,2160,4036,1138,1141,360.0,1
349,2162,4041,1038,1031,109.0,0
350,2166,4049,1136,1133,193.0,0
351,2172,4061,1024,1007,-128.0,0
352,2173,4062,1044,1056,150.0,0
353,2176,4067,1012,1009,-23.0,1
354,2183,4083,1029,1042,-3.0,1
355,2211,4135,1012,1002,-6.0,1
356,2212,4136,1024,1023,-149.0,1
357,2217,4144,1036,1038,-8.0,1
358,2218,4145,1010,1001,-218.0,0
359,2218,4146,1024,1018,-59.0,1
360,2219,4148,1046,1043,49.0,1
361,2234,4176,1009,1021,63.0,0
362,2235,4181,1146,1138,-607.0,1
363,2238,4186,1019,1023,-137.0,1
364,2247,4199,1029,1033,44.0,1
365,2251,4206,1030,1038,-164.0,1
366,2253,4210,1004,1013,61.0,0
367,2261,4222,1074,1059,291.0,1
368,2262,4225,1025,1041,134.0,1
369,2289,4278,1019,1011,-3.0,1
370,2290,4283,1111,1097,276.0,0
371,2291,4285,1145,1134,-209.0,0
372,2293,4289,1140,1133,346.0,1
373,2303,4309,1104,1108,-339.0,1
374,2316,4330,1021,1016,-53.0,1
375,2317,4333,1007,1003,19.0,0
376,2321,4338,1024,1012,-44.0,0
377,2324,4344,1057,1048,-20.0,1
378,2331,4353,1091,1093,-23.0,1
379,2339,4366,1072,1063,89.0,0
380,2351,4388,1003,1011,94.0,1
381,2353,4394,1042,1039,-53.0,1
382,2356,4401,1107,1099,-327.0,0
383,2361,4408,1132,1141,368.0,0
384,2362,4413,1032,1040,-99.0,1
385,2367,4424,1131,1133,443.0,0
386,2371,4433,1024,1021,-4.0,0
387,2385,4462,1105,1110,-46.0,1
388,2389,4470,1120,1124,7.0,0
389,2393,4480,1019,1001,-188.0,1
390,2400,4490,1096,1112,359.0,0
391,2426,4538,1050,1055,-34.0,0
392,2427,4540,1110,1105,46.0,0
393,2457,4596,1143,1134,676.0,1
394,2458,4598,1024,1006,-205.0,1
395,2462,4608,1023,1001,-51.0,1
396,2505,4679,1140,1132,56.0,0
397,2508,4687,1003,1006,-96.0,1
398,2524,4716,1111,1095,686.0,1
399,2532,4733,1051,1053,-121.0,0
400,2539,4746,1009,1016,10.0,1
401,2545,4755,1019,1010,30.0,1
402,2550,4763,1136,1131,-250.0,0
403,2551,4764,1046,1056,149.0,1
404,2551,4766,1145,1136,-751.0,1
405,2556,4776,1025,1031,-16.0,1
406,2561,4783,1019,1010,30.0,1
407,2562,4786,1036,1027,-14.0,1
408,2568,4801,1024,1003,-109.0,1
409,2572,4808,1023,1014,7.0,1
410,2572,4809,1023,1019,137.0,0
411,2583,4827,1038,1040,24.0,0
412,2586,4830,1024,1006,-205.0,1
413,2587,4831,1047,1053,-65.0,1
414,2595,4850,1016,1012,13.0,0
415,2600,4857,1029,1027,-194.0,1
416,2601,4858,1004,1018,141.0,1
417,2615,4887,1041,1032,-136.0,1
418,2619,4895,1128,1115,253.0,0
419,2622,4898,1061,1067,-35.0,1
420,2642,4936,1007,1002,78.0,0
421,2644,4941,1050,1055,-34.0,1
422,2656,4963,1053,1052,-7.0,1
423,2659,4968,1024,1007,-128.0,1
424,2661,4970,1046,1044,-1.0,1
425,2705,5045,1137,1131,-389.0,0
426,2716,5067,1047,1052,-72.0,0
427,2719,5070,1093,1094,20.0,1
428,2720,5071,1019,1010,30.0,0
429,2731,5093,1033,1030,-68.0,0
430,2731,5097,1033,1041,27.0,1
431,2739,5110,1145,1144,-706.0,1
432,2743,5118,1036,1025,117.0,1
433,2747,5122,1007,1021,124.0,1
434,2766,5157,1143,1131,-116.0,1
435,2768,5161,1043,1052,-50.0,1
436,2772,5167,1093,1084,-243.0,1
437,2778,5178,1050,1058,-41.0,1
438,2787,5195,1136,1133,193.0,0
439,2789,5199,1027,1038,6.0,1
440,2795,5211,1132,1136,97.0,1
441,2800,5223,1055,1044,-61.0,1
442,2807,5236,1128,1122,465.0,0
443,2813,5249,1146,1130,-532.0,1
444,2832,5288,1142,1144,291.0,0
445,2835,5295,1042,1027,-191.0,1
446,2846,5308,1010,1008,-203.0,1
447,2853,5319,1003,1011,94.0,0
448,2863,5336,1012,1022,48.0,1
449,2863,5338,1013,1001,-61.0,1
450,2870,5348,1046,1054,18.0,1
451,2881,5370,1136,1139,-310.0,1
452,2887,5385,1091,1090,-6.0,0
453,2891,5391,1027,1025,131.0,0
454,2894,5399,1069,1067,-38.0,1
455,2900,5410,1020,1019,121.0,0
456,2917,5435,1022,1012,-48.0,0
457,2918,5437,1068,1065,118.0,1
458,2918,5438,1142,1140,93.0,0
459,2929,5457,1019,1001,-188.0,1
460,2937,5467,1019,1013,-127.0,1
461,2937,5469,1128,1113,-22.0,0
462,2940,5476,1046,1044,-1.0,0
463,2960,5507,1010,1009,-85.0,0
464,2969,5523,1053,1047,65.0,1
465,2971,5528,1119,1114,-16.0,1
466,2980,5545,1085,1077,-146.0,1
467,3001,5581,1011,1004,-185.0,1
468,3003,5583,1024,1009,-67.0,1
469,3004,5585,1131,1140,97.0,0
470,3006,5593,1143,1141,405.0,1
471,3019,5610,1040,1032,99.0,0
472,3020,5613,1058,1043,-4.0,1
473,3024,5620,1046,1058,53.0,0
474,3026,5625,1010,1003,-127.0,1
475,3033,5633,1027,1025,131.0,1
476,3034,5636,1030,1025,-39.0,1
477,3040,5647,1082,1091,181.0,0
478,3048,5662,1042,1030,-21.0,0
479,3052,5666,1128,1118,-114.0,1
480,3052,5667,1086,1091,249.0,1
481,3061,5684,1143,1134,676.0,1
482,3064,5688,1080,1086,-125.0,0
483,3070,5702,1022,1001,-204.0,0
484,3071,5704,1047,1050,23.0,1
485,3072,5707,1136,1134,542.0,1
486,3077,5718,1072,1060,135.0,0
487,3083,5730,1024,1020,-133.0,1
488,3090,5744,1146,1133,-325.0,0
489,3093,5748,1038,1030,164.0,0
490,3096,5755,1046,1056,149.0,0
491,3100,5766,1035,1029,-59.0,0
492,3108,5778,1057,1052,-126.0,1
493,3111,5784,1131,1136,250.0,0
494,3130,5823,1136,1129,256.0,1
495,3133,5828,1044,1050,95.0,0
496,3136,5833,1136,1139,-310.0,1
497,3146,5851,1029,1025,-63.0,1
498,3150,5859,1061,1063,-145.0,1
499,3166,5890,1019,1021,8.0,0
500,3180,5915,1024,1007,-128.0,1
501,3198,5951,1050,1055,-34.0,1
502,3199,5954,1061,1074,-157.0,0
503,3201,5956,1012,1002,-6.0,1
504,3203,5962,1136,1139,-310.0,1
505,3214,5978,1132,1130,83.0,1
506,3221,5991,1046,1052,-1.0,1
507,3227,6000,1004,1005,119.0,1
508,3236,6015,1046,1058,53.0,1
509,3237,6019,1027,1040,30.0,1
510,3243,6030,1031,1032,14.0,1
511,3252,6047,1008,1005,104.0,0
512,3255,6053,1057,1058,-72.0,1
513,3262,6066,1128,1125,460.0,0
514,3263,6067,1033,1027,-238.0,1
515,3282,6103,1057,1052,-126.0,0
516,3285,6108,1082,1085,70.0,0
517,3285,6110,1055,1053,-54.0,1
518,3291,6123,1140,1141,424.0,1
519,3293,6128,1016,1011,42.0,0
520,3298,6136,1068,1072,-194.0,1
521,3302,6143,1042,1039,-53.0,1
522,3309,6157,1130,1143,-120.0,0
523,3320,6175,1129,1143,-390.0,1
524,3323,6179,1078,1083,0.0,1
525,3324,6181,1046,1052,-1.0,0
526,3338,6201,1023,1020,16.0,1
527,3340,6205,1110,1104,160.0,0
528,3342,6211,1029,1035,59.0,1
529,3347,6223,1082,1085,70.0,0
530,3360,6242,1073,1076,222.0,1
531,3371,6259,1145,1130,-765.0,0
532,3373,6263,1042,1028,76.0,1
533,3375,6269,1029,1037,-122.0,0
534,3383,6287,1024,1021,-4.0,0
535,3395,6314,1106,1107,328.0,0
536,3396,6316,1011,1002,-35.0,0
537,3400,6325,1050,1054,-76.0,1
538,3405,6334,1008,1018,126.0,1
539,3411,6346,1003,1009,42.0,1
540,3414,6350,1027,1029,194.0,1
541,3414,6351,1140,1143,19.0,1
542,3420,6362,1043,1057,76.0,1
543,3420,6365,1072,1060,135.0,0
544,3426,6373,1030,1031,-55.0,1
545,3427,6375,1024,1015,-121.0,1
546,3443,6408,1143,1141,405.0,0
547,3444,6409,1072,1073,14.0,0
548,3446,6413,1132,1143,-37.0,0
549,3448,6417,1128,1120,268.0,0
550,3451,6421,1050,1045,-11.0,0
551,3458,6436,1136,1138,-89.0,0
552,3462,6443,1061,1063,-145.0,1
553,3471,6458,1041,1027,-265.0,0
554,3472,6461,1022,1023,-153.0,1
555,3473,6466,1138,1144,134.0,1
556,3474,6467,1024,1013,-139.0,1
557,3476,6469,1007,1024,128.0,0
558,3481,6479,1128,1116,279.0,0
559,3502,6517,1009,1018,8.0,1
560,3514,6544,1036,1026,152.0,1
561,3534,6577,1111,1107,605.0,1
562,3535,6580,1036,1034,12.0,1
563,3542,6590,1086,1087,279.0,1
564,3546,6597,1027,1036,14.0,0
565,3551,6605,1029,1034,-168.0,1
566,3560,6621,1046,1052,-1.0,1
567,3567,6635,1010,1006,-223.0,1
568,3579,6651,1003,1001,-91.0,1
569,3583,6656,1142,1132,149.0,0
570,3593,6669,1013,1020,6.0,1
571,3594,6672,1053,1045,77.0,1
572,3597,6678,1071,1074,-270.0,1
573,3603,6689,1132,1144,142.0,0
574,3613,6707,1041,1030,-95.0,1
575,3626,6735,1143,1138,45.0,1
576,3634,6750,1057,1056,24.0,1
577,3641,6764,1132,1133,290.0,1
578,3649,6776,1009,1022,71.0,1
579,3652,6784,1024,1008,-185.0,1
580,3660,6795,1007,1019,116.0,0
581,3668,6810,1046,1058,53.0,1
582,3670,6813,1054,1055,42.0,0
583,3675,6824,1027,1039,138.0,0
584,3683,6836,1132,1145,848.0,1
585,3689,6848,1070,1075,-142.0,1
586,3703,6874,1111,1102,827.0,0
587,3706,6880,1029,1036,-180.0,0
588,3708,6882,1027,1030,170.0,1
589,3712,6890,1120,1115,-15.0,0
590,3728,6912,1009,1011,52.0,1
591,3733,6921,1142,1146,764.0,1
592,3752,6948,1027,1036,14.0,1
593,3755,6951,1019,1007,-116.0,1
594,3757,6953,1055,1044,-61.0,0
595,3759,6959,1020,1009,66.0,0
596,3759,6960,1042,1041,74.0,0
597,3761,6965,1142,1138,157.0,0
598,3764,6971,1012,1004,-156.0,1
599,3775,6988,1024,1011,-15.0,0
600,3782,7004,1024,1018,-59.0,1
601,3785,7009,1019,1015,-109.0,1
602,3787,7011,1024,1015,-121.0,1
603,3795,7029,1029,1034,-168.0,0
604,3797,7031,1049,1051,99.0,1
605,3802,7040,1019,1022,16.0,1
606,3804,7044,1016,1019,45.0,1
607,3805,7049,1029,1040,-164.0,1
608,3829,7092,1012,1015,-77.0,0
609,3838,7109,1128,1116,279.0,0
610,3838,7110,1086,1092,265.0,0
611,3845,7122,1097,1103,-116.0,1
612,3847,7125,1032,1028,138.0,0
613,3866,7157,1018,1020,-74.0,0
614,3884,7180,1029,1033,44.0,1
615,3887,7186,1041,1037,-193.0,1
616,3892,7195,1031,1029,79.0,1
617,3894,7199,1054,1049,10.0,1
618,3908,7225,1003,1019,97.0,0
619,3908,7226,1057,1054,-107.0,1
620,3915,7237,1128,1119,-35.0,1
621,3925,7261,1019,1021,8.0,0
622,3931,7275,1072,1075,85.0,0
623,3934,7282,1038,1028,261.0,1
624,3937,7286,1128,1113,-22.0,0
625,3942,7295,1024,1004,-200.0,0
626,3943,7298,1046,1058,53.0,1
627,3947,7306,1132,1142,-149.0,1
628,3963,7333,1023,1008,-36.0,1
629,3970,7353,1022,1020,-137.0,1
630,3973,7358,1050,1049,-66.0,0
631,3974,7360,1024,1001,-200.0,0
632,3975,7363,1024,1021,-4.0,1
633,3976,7365,1012,1005,-37.0,0
634,3991,7393,1010,1008,-203.0,0
635,4029,7465,1111,1095,686.0,1
636,4041,7488,1013,1014,-3.0,1
637,4050,7505,1025,1035,122.0,0
638,4062,7525,1041,1025,-134.0,1
639,4070,7537,1024,1019,-12.0,1
640,4072,7540,1019,1015,-109.0,1
641,4077,7548,1143,1141,405.0,0
642,4080,7553,1132,1140,-56.0,1
643,4090,7573,1027,1041,265.0,1
644,4100,7589,1142,1135,916.0,0
645,4103,7594,1024,1018,-59.0,0
646,4108,7608,1050,1056,55.0,0
647,4108,7609,1053,1049,22.0,1
648,4118,7626,1083,1091,46.0,1
649,4122,7637,1024,1020,-133.0,1
650,4135,7656,1128,1115,253.0,1
651,4143,7672,1058,1045,30.0,0
652,4165,7715,1003,1021,105.0,1
653,4170,7729,1071,1074,-270.0,0
654,4172,7735,1050,1047,-23.0,1
655,4174,7742,1024,1015,-121.0,0
656,4191,7774,1046,1050,94.0,0
657,4198,7782,1046,1044,-1.0,0
658,4212,7805,1051,1049,-99.0,1
659,4227,7834,1009,1017,29.0,1
660,4230,7838,1131,1135,920.0,0
661,4232,7844,1004,1023,51.0,1
662,4234,7849,1029,1039,-56.0,1
663,4239,7856,1010,1024,-18.0,1
664,4245,7865,1132,1134,639.0,0
665,4252,7876,1019,1012,-32.0,0
666,4258,7885,1024,1010,18.0,1
667,4258,7886,1009,1001,-133.0,1
668,4262,7894,1031,1032,14.0,0
669,4264,7897,1057,1047,-54.0,0
670,4265,7898,1141,1129,-15.0,1
671,4272,7913,1145,1143,-885.0,1
672,4273,7915,1082,1083,135.0,0
673,4273,7916,1024,1006,-205.0,1
674,4275,7920,1114,1127,477.0,1
675,4281,7932,1050,1049,-66.0,1
676,4283,7935,1137,1138,-228.0,1
677,4302,7973,1019,1003,-97.0,1
678,4305,7979,1010,1006,-223.0,1
679,4306,7981,1055,1047,11.0,0
680,4310,7995,1136,1146,518.0,1
681,4325,8032,1024,1011,-15.0,1
682,4328,8039,1114,1124,326.0,0
683,4333,8050,1010,1006,-223.0,0
684,4343,8067,1058,1056,96.0,1
685,4345,8070,1053,1050,88.0,0
686,4363,8104,1043,1045,34.0,0
687,4366,8110,1031,1030,55.0,1
688,4380,8133,1042,1027,-191.0,1
689,4393,8157,1013,1010,157.0,0
690,4394,8159,1027,1036,14.0,1
