order_id,session_id,customer_id,order_date,order_value,order_status,cancel_reason,cancelled_by,delivered_time
40,121,181,2025-03-31,820.0,delivered,,,2025-03-31 19:51:00
41,123,89,2025-05-18,664.0,delivered,,,2025-05-18 12:08:00
42,124,770,2025-05-30,741.0,delivered,,,2025-05-30 22:10:00
43,130,284,2025-04-05,933.0,delivered,,,2025-04-05 21:34:00
44,132,138,2025-02-05,971.0,delivered,,,2025-02-05 17:01:00
45,133,386,2025-01-21,592.0,delivered,,,2025-01-21 20:04:00
46,134,854,2025-02-03,664.0,cancelled,changed_mind,customer,
47,135,992,2025-01-13,414.0,delivered,,,2025-01-13 11:07:00
48,137,939,2025-05-20,935.0,delivered,,,2025-05-20 22:58:00
49,140,808,2025-06-04,274.0,delivered,,,2025-06-04 23:31:00
50,145,300,2025-02-04,311.0,delivered,,,2025-02-04 18:23:00
51,153,884,2025-06-18,341.0,delivered,,,2025-06-18 23:32:00
52,161,828,2025-05-08,125.0,delivered,,,2025-05-08 15:25:00
53,166,774,2025-03-14,518.0,delivered,,,2025-03-14 17:27:00
54,167,707,2025-01-15,1340.0,delivered,,,2025-01-15 14:37:00
55,169,689,2025-06-20,393.0,delivered,,,2025-06-20 16:53:00
56,171,410,2025-05-12,0,cancelled,substitute_rejected,customer,
57,174,951,2025-04-19,0,cancelled,items_unavailable,system,
58,175,172,2025-01-17,224.0,delivered,,,2025-01-17 21:21:00
59,179,491,2025-06-13,111.0,delivered,,,2025-06-13 18:57:00
60,185,980,2025-02-14,920.0,delivered,,,2025-02-14 17:50:00
61,187,1013,2025-02-18,259.0,delivered,,,2025-02-18 15:38:00
62,190,965,2025-06-21,1640.0,delivered,,,2025-06-21 08:11:00
63,191,739,2025-03-09,354.0,delivered,,,2025-03-09 15:33:00
64,193,1014,2025-05-24,259.0,delivered,,,2025-05-24 22:16:00
65,198,316,2025-04-21,421.0,delivered,,,2025-04-21 16:52:00
66,199,890,2025-05-12,395.0,delivered,,,2025-05-12 17:59:00
67,203,809,2025-02-04,599.0,delivered,,,2025-02-04 07:06:00
68,204,177,2025-05-02,309.0,delivered,,,2025-05-02 20:14:00
69,210,66,2025-01-30,499.0,delivered,,,2025-01-30 13:55:00
70,213,14,2025-03-29,550.0,delivered,,,2025-03-29 17:02:00
71,216,310,2025-06-11,387.0,delivered,,,2025-06-11 23:32:00
72,217,173,2025-02-02,159.0,delivered,,,2025-02-02 23:37:00
73,224,837,2025-03-16,734.0,cancelled,payment_failed,system,
74,230,1110,2025-05-26,489.0,delivered,,,2025-05-26 23:40:00
75,232,1110,2025-03-07,2315.0,delivered,,,2025-03-07 09:48:00
76,233,789,2025-03-23,208.0,delivered,,,2025-03-23 22:12:00
77,240,480,2025-01-10,995.0,delivered,,,2025-01-10 15:42:00
78,241,393,2025-06-27,1799.0,delivered,,,2025-06-28 01:05:00
79,242,399,2025-01-07,172.0,delivered,,,2025-01-07 14:17:00
80,243,685,2025-05-02,1364.0,delivered,,,2025-05-02 14:33:00
81,245,823,2025-03-01,623.0,delivered,,,2025-03-01 07:18:00
82,249,958,2025-05-29,372.0,delivered,,,2025-05-29 17:13:00
83,250,744,2025-05-23,45.0,delivered,,,2025-05-23 10:11:00
84,251,366,2025-03-09,846.0,delivered,,,2025-03-09 10:27:00
85,253,1041,2025-02-23,361.0,delivered,,,2025-02-23 10:23:00
86,256,958,2025-05-08,156.0,delivered,,,2025-05-08 17:17:00
87,257,202,2025-05-20,758.0,delivered,,,2025-05-20 13:31:00
88,259,25,2025-02-08,703.0,delivered,,,2025-02-08 19:53:00
89,262,624,2025-05-22,1154.0,delivered,,,2025-05-22 12:04:00
90,263,267,2025-06-20,1835.0,delivered,,,2025-06-20 22:42:00
91,265,359,2025-06-08,615.0,delivered,,,2025-06-08 20:46:00
92,266,840,2025-05-10,896.0,delivered,,,2025-05-10 08:17:00
93,268,23,2025-04-02,893.0,cancelled,changed_mind,customer,
94,270,476,2025-02-14,62.0,delivered,,,2025-02-14 07:22:00
95,272,1166,2025-06-03,402.0,delivered,,,2025-06-03 17:31:00
96,279,615,2025-02-14,205.0,delivered,,,2025-02-14 15:47:00
97,285,816,2025-02-13,1063.0,cancelled,substitute_rejected,customer,
98,290,660,2025-01-12,1246.0,delivered,,,2025-01-12 18:21:00
99,292,60,2025-04-09,254.0,delivered,,,2025-04-09 15:44:00
100,298,461,2025-02-15,208.0,delivered,,,2025-02-15 22:43:00
101,299,1183,2025-03-16,1053.0,delivered,,,2025-03-16 11:08:00
102,302,912,2025-01-22,303.0,delivered,,,2025-01-22 10:28:00
103,305,1037,2025-02-13,0,cancelled,substitute_rejected,customer,
104,306,92,2025-03-18,240.0,delivered,,,2025-03-18 13:11:00
105,307,872,2025-02-22,593.0,delivered,,,2025-02-22 09:58:00
106,309,628,2025-01-25,660.0,delivered,,,2025-01-25 23:45:00
107,310,977,2025-06-25,414.0,delivered,,,2025-06-26 00:14:00
108,312,163,2025-01-24,304.0,cancelled,late_delivery,customer,
109,313,1095,2025-06-19,1349.0,delivered,,,2025-06-19 23:46:00
110,318,407,2025-02-04,207.0,delivered,,,2025-02-04 19:12:00
111,320,797,2025-01-06,1332.0,delivered,,,2025-01-06 11:16:00
112,323,407,2025-01-27,1220.0,delivered,,,2025-01-28 00:09:00
113,324,506,2025-01-11,430.0,delivered,,,2025-01-11 07:23:00
114,330,1052,2025-05-11,463.0,delivered,,,2025-05-11 19:37:00
115,332,1095,2025-06-11,849.0,delivered,,,2025-06-11 18:23:00
116,333,906,2025-05-29,174.0,delivered,,,2025-05-29 19:36:00
117,336,694,2025-02-05,466.0,delivered,,,2025-02-05 22:51:00
118,339,460,2025-04-02,36.0,delivered,,,2025-04-02 09:47:00
119,340,714,2025-05-08,237.0,delivered,,,2025-05-08 19:38:00
120,350,257,2025-01-15,1328.0,delivered,,,2025-01-15 14:20:00
121,354,49,2025-05-31,296.0,delivered,,,2025-05-31 08:39:00
122,358,766,2025-04-26,1189.0,delivered,,,2025-04-26 16:29:00
123,365,649,2025-02-07,1042.0,delivered,,,2025-02-07 23:09:00
124,373,850,2025-04-17,130.0,delivered,,,2025-04-17 07:38:00
125,375,1060,2025-02-02,973.0,delivered,,,2025-02-02 22:57:00
126,378,1187,2025-06-02,327.0,cancelled,payment_failed,system,
127,379,769,2025-04-26,135.0,cancelled,payment_failed,system,
128,380,522,2025-01-08,31.0,delivered,,,2025-01-08 23:57:00
129,399,1183,2025-01-28,880.0,delivered,,,2025-01-28 10:43:00
130,400,398,2025-06-02,2067.0,delivered,,,2025-06-02 15:11:00
131,405,452,2025-05-08,203.0,delivered,,,2025-05-08 07:43:00
132,409,1144,2025-03-15,664.0,delivered,,,2025-03-15 09:43:00
133,411,596,2025-04-01,983.0,delivered,,,2025-04-01 14:35:00
134,415,601,2025-02-02,2455.0,delivered,,,2025-02-02 19:59:00
135,418,900,2025-04-21,200.0,delivered,,,2025-04-21 12:14:00
136,427,485,2025-04-09,568.0,delivered,,,2025-04-09 20:59:00
137,430,1145,2025-04-23,70.0,delivered,,,2025-04-23 20:12:00
138,434,555,2025-05-08,679.0,delivered,,,2025-05-08 23:04:00
139,437,1099,2025-01-04,259.0,delivered,,,2025-01-04 15:12:00
140,438,981,2025-01-20,442.0,delivered,,,2025-01-20 15:27:00
141,441,616,2025-03-13,0,cancelled,items_unavailable,system,
142,448,724,2025-03-02,393.0,delivered,,,2025-03-02 18:26:00
143,453,1198,2025-03-15,0,cancelled,items_unavailable,system,
144,460,1106,2025-05-06,259.0,delivered,,,2025-05-06 07:07:00
145,463,579,2025-01-23,664.0,delivered,,,2025-01-24 00:09:00
146,471,774,2025-03-11,1259.0,delivered,,,2025-03-11 09:09:00
147,475,1004,2025-04-14,664.0,delivered,,,2025-04-14 22:37:00
148,479,21,2025-05-01,296.0,delivered,,,2025-05-01 09:15:00
149,480,29,2025-04-20,1278.0,delivered,,,2025-04-20 16:58:00
150,489,519,2025-05-27,127.0,delivered,,,2025-05-27 07:44:00
151,492,649,2025-05-31,1175.0,delivered,,,2025-05-31 18:25:00
152,493,186,2025-03-23,303.0,delivered,,,2025-03-23 07:43:00
153,494,272,2025-03-15,460.0,delivered,,,2025-03-15 12:46:00
154,495,350,2025-04-09,1118.0,delivered,,,2025-04-09 11:15:00
155,498,821,2025-02-12,59.0,delivered,,,2025-02-12 16:41:00
156,499,379,2025-01-24,296.0,delivered,,,2025-01-24 14:30:00
157,501,816,2025-02-05,632.0,delivered,,,2025-02-05 22:44:00
158,504,748,2025-04-19,236.0,delivered,,,2025-04-20 01:00:00
159,505,49,2025-04-02,437.0,delivered,,,2025-04-02 20:05:00
160,507,888,2025-05-27,254.0,delivered,,,2025-05-27 15:45:00
161,516,322,2025-03-15,733.0,delivered,,,2025-03-15 07:57:00
162,518,396,2025-04-05,678.0,cancelled,payment_failed,system,
163,524,1007,2025-03-29,1832.0,delivered,,,2025-03-29 16:55:00
164,526,320,2025-05-14,1287.0,delivered,,,2025-05-14 18:00:00
165,527,1074,2025-04-04,180.0,delivered,,,2025-04-04 08:20:00
166,528,502,2025-02-15,296.0,delivered,,,2025-02-15 08:16:00
167,531,614,2025-03-29,561.0,delivered,,,2025-03-29 15:59:00
168,532,1104,2025-01-28,152.0,delivered,,,2025-01-28 14:05:00
169,533,667,2025-06-17,127.0,delivered,,,2025-06-17 21:14:00
170,536,998,2025-05-31,187.0,delivered,,,2025-05-31 19:11:00
171,540,1033,2025-05-18,414.0,delivered,,,2025-05-18 22:12:00
172,543,39,2025-02-08,1364.0,delivered,,,2025-02-08 15:51:00
173,544,869,2025-02-25,1488.0,delivered,,,2025-02-25 18:02:00
174,547,820,2025-04-03,1029.0,delivered,,,2025-04-03 16:51:00
175,549,225,2025-02-22,198.0,delivered,,,2025-02-22 16:18:00
176,551,231,2025-04-17,405.0,delivered,,,2025-04-18 00:15:00
177,560,312,2025-04-19,485.0,delivered,,,2025-04-19 13:52:00
178,564,232,2025-02-13,125.0,delivered,,,2025-02-13 22:54:00
179,567,807,2025-06-15,1000.0,delivered,,,2025-06-15 22:14:00
180,577,118,2025-02-07,1552.0,delivered,,,2025-02-07 09:26:00
181,580,517,2025-04-13,238.0,delivered,,,2025-04-13 13:53:00
182,582,63,2025-01-31,1084.0,delivered,,,2025-01-31 17:04:00
183,584,203,2025-06-17,1471.0,delivered,,,2025-06-17 17:41:00
184,588,422,2025-03-16,568.0,delivered,,,2025-03-16 08:09:00
185,591,536,2025-02-21,84.0,delivered,,,2025-02-21 09:36:00
186,592,893,2025-02-06,590.0,delivered,,,2025-02-06 22:11:00
187,594,759,2025-06-25,858.0,delivered,,,2025-06-25 14:07:00
188,595,707,2025-05-03,90.0,cancelled,late_delivery,customer,
189,597,863,2025-04-26,994.0,delivered,,,2025-04-26 21:25:00
190,599,845,2025-05-22,50.0,delivered,,,2025-05-22 12:32:00
191,602,1195,2025-03-28,306.0,cancelled,substitute_rejected,customer,
192,603,350,2025-04-03,97.0,delivered,,,2025-04-03 21:35:00
193,612,944,2025-06-20,862.0,delivered,,,2025-06-20 10:22:00
194,613,907,2025-02-15,259.0,delivered,,,2025-02-15 13:34:00
195,618,310,2025-01-25,216.0,delivered,,,2025-01-25 07:17:00
196,619,999,2025-01-28,1931.0,delivered,,,2025-01-28 09:04:00
197,624,989,2025-03-23,955.0,delivered,,,2025-03-23 21:58:00
198,625,864,2025-02-07,272.0,delivered,,,2025-02-07 22:13:00
199,628,811,2025-01-23,606.0,delivered,,,2025-01-23 13:17:00
200,629,1026,2025-06-12,240.0,delivered,,,2025-06-12 19:20:00
201,630,1043,2025-02-24,1542.0,delivered,,,2025-02-24 11:40:00
202,632,517,2025-01-04,393.0,delivered,,,2025-01-04 13:56:00
203,633,160,2025-01-08,734.0,cancelled,address_issue,seller,
204,634,246,2025-02-22,439.0,delivered,,,2025-02-22 11:33:00
205,638,178,2025-03-27,676.0,delivered,,,2025-03-27 18:25:00
206,641,218,2025-02-09,172.0,delivered,,,2025-02-09 13:28:00
207,644,193,2025-03-03,586.0,delivered,,,2025-03-03 21:42:00
208,648,1196,2025-04-24,80.0,delivered,,,2025-04-24 09:50:00
209,649,858,2025-05-23,486.0,delivered,,,2025-05-23 20:23:00
210,650,1142,2025-06-18,603.0,delivered,,,2025-06-18 12:40:00
211,653,741,2025-04-15,115.0,delivered,,,2025-04-15 09:12:00
212,657,1176,2025-06-27,472.0,delivered,,,2025-06-27 22:28:00
213,662,408,2025-06-10,768.0,cancelled,late_delivery,customer,
214,665,553,2025-03-05,724.0,delivered,,,2025-03-05 20:37:00
215,666,48,2025-06-22,878.0,delivered,,,2025-06-22 22:06:00
216,667,1154,2025-04-26,2065.0,delivered,,,2025-04-26 07:01:00
217,672,1052,2025-01-15,1253.0,delivered,,,2025-01-15 19:33:00
218,673,1128,2025-05-15,165.0,delivered,,,2025-05-15 21:28:00
219,678,888,2025-05-12,772.0,delivered,,,2025-05-13 00:48:00
220,681,399,2025-02-08,664.0,delivered,,,2025-02-08 20:49:00
221,683,678,2025-02-09,240.0,delivered,,,2025-02-09 23:49:00
222,688,312,2025-02-15,657.0,delivered,,,2025-02-15 08:02:00
223,694,303,2025-02-08,310.0,delivered,,,2025-02-08 09:25:00
224,699,950,2025-03-01,400.0,cancelled,changed_mind,customer,
225,700,156,2025-05-20,1412.0,delivered,,,2025-05-20 20:12:00
226,702,554,2025-04-26,726.0,cancelled,address_issue,seller,
227,703,720,2025-04-21,245.0,delivered,,,2025-04-21 10:30:00
228,706,239,2025-05-22,0,cancelled,items_unavailable,system,
229,711,191,2025-01-14,454.0,cancelled,address_issue,seller,
230,712,1044,2025-06-24,1172.0,delivered,,,2025-06-25 00:34:00
231,713,3,2025-02-18,36.0,delivered,,,2025-02-18 16:05:00
232,714,273,2025-01-29,114.0,delivered,,,2025-01-29 07:58:00
233,717,289,2025-01-04,633.0,delivered,,,2025-01-04 23:09:00
234,718,553,2025-02-04,1446.0,delivered,,,2025-02-04 07:48:00
235,719,1018,2025-01-06,420.0,cancelled,late_delivery,customer,
236,723,1124,2025-02-24,115.0,delivered,,,2025-02-24 13:25:00
237,726,1179,2025-03-31,1489.0,delivered,,,2025-03-31 19:21:00
238,727,316,2025-02-10,322.0,delivered,,,2025-02-10 22:39:00
239,728,928,2025-05-17,76.0,delivered,,,2025-05-17 13:08:00
240,729,471,2025-01-29,191.0,delivered,,,2025-01-30 01:00:00
241,730,1005,2025-02-26,1607.0,delivered,,,2025-02-26 09:20:00
242,733,157,2025-03-15,473.0,delivered,,,2025-03-16 00:03:00
243,734,774,2025-02-08,31.0,delivered,,,2025-02-08 16:02:00
244,735,728,2025-06-09,480.0,delivered,,,2025-06-09 22:41:00
245,737,1021,2025-02-19,667.0,delivered,,,2025-02-19 19:35:00
246,739,727,2025-03-16,62.0,delivered,,,2025-03-16 08:21:00
247,742,1063,2025-03-26,1443.0,delivered,,,2025-03-26 11:17:00
248,744,407,2025-06-23,1115.0,delivered,,,2025-06-23 13:07:00
249,747,851,2025-06-24,923.0,delivered,,,2025-06-24 13:15:00
250,749,189,2025-03-17,0,cancelled,items_unavailable,system,
251,754,238,2025-01-02,486.0,cancelled,payment_failed,system,
252,763,1116,2025-03-10,0,cancelled,items_unavailable,system,
253,768,659,2025-02-15,62.0,cancelled,substitute_rejected,customer,
254,770,137,2025-04-12,0,cancelled,substitute_rejected,customer,
255,771,822,2025-01-21,1014.0,delivered,,,2025-01-21 20:47:00
256,775,154,2025-01-24,313.0,delivered,,,2025-01-24 23:02:00
257,776,236,2025-06-24,309.0,delivered,,,2025-06-24 17:12:00
258,799,246,2025-05-28,572.0,delivered,,,2025-05-28 10:01:00
259,801,917,2025-06-08,530.0,delivered,,,2025-06-08 15:59:00
260,805,573,2025-05-31,179.0,delivered,,,2025-05-31 20:00:00
261,807,238,2025-01-18,393.0,delivered,,,2025-01-18 13:32:00
262,808,904,2025-04-16,510.0,delivered,,,2025-04-16 11:32:00
263,813,1135,2025-01-14,270.0,delivered,,,2025-01-15 00:42:00
264,814,875,2025-05-30,836.0,delivered,,,2025-05-30 10:05:00
265,815,594,2025-03-27,309.0,delivered,,,2025-03-27 16:27:00
266,818,954,2025-05-26,0,cancelled,substitute_rejected,customer,
267,819,225,2025-02-11,230.0,delivered,,,2025-02-11 13:28:00
268,821,1024,2025-02-07,406.0,delivered,,,2025-02-07 19:22:00
269,826,1166,2025-06-27,909.0,delivered,,,2025-06-27 23:11:00
270,828,320,2025-01-14,590.0,delivered,,,2025-01-14 19:55:00
271,829,260,2025-01-28,93.0,delivered,,,2025-01-28 17:42:00
272,832,946,2025-05-23,1035.0,cancelled,payment_failed,system,
273,833,222,2025-04-29,767.0,delivered,,,2025-04-29 09:32:00
274,834,916,2025-03-06,786.0,delivered,,,2025-03-06 22:05:00
275,839,1084,2025-06-15,988.0,delivered,,,2025-06-15 09:25:00
276,840,1194,2025-06-06,1157.0,delivered,,,2025-06-06 21:39:00
277,842,1041,2025-01-19,398.0,cancelled,changed_mind,customer,
278,843,53,2025-05-02,179.0,delivered,,,2025-05-02 17:35:00
279,844,339,2025-05-10,432.0,delivered,,,2025-05-10 11:34:00
280,846,786,2025-06-06,311.0,delivered,,,2025-06-06 20:03:00
281,848,130,2025-01-29,816.0,cancelled,substitute_rejected,customer,
282,855,740,2025-06-27,228.0,delivered,,,2025-06-27 08:28:00
283,857,1141,2025-04-16,207.0,delivered,,,2025-04-16 08:32:00
284,858,453,2025-06-05,236.0,delivered,,,2025-06-05 07:43:00
285,863,837,2025-06-13,72.0,delivered,,,2025-06-13 20:18:00
286,867,316,2025-03-15,532.0,delivered,,,2025-03-16 01:15:00
287,871,213,2025-04-12,187.0,delivered,,,2025-04-12 21:31:00
288,877,803,2025-05-26,1838.0,delivered,,,2025-05-26 12:59:00
289,879,482,2025-03-23,931.0,cancelled,address_issue,seller,
290,880,828,2025-03-13,1529.0,delivered,,,2025-03-13 17:58:00
291,892,259,2025-01-01,2181.0,delivered,,,2025-01-01 07:35:00
292,899,290,2025-03-21,522.0,delivered,,,2025-03-22 00:16:00
293,903,20,2025-03-27,1147.0,cancelled,address_issue,seller,
294,909,590,2025-03-19,562.0,delivered,,,2025-03-19 07:33:00
295,913,768,2025-04-11,439.0,delivered,,,2025-04-11 22:59:00
296,917,1108,2025-03-06,888.0,delivered,,,2025-03-06 14:28:00
297,919,18,2025-04-05,60.0,delivered,,,2025-04-05 18:28:00
298,920,388,2025-01-26,93.0,delivered,,,2025-01-26 12:37:00
299,923,769,2025-05-29,1804.0,delivered,,,2025-05-29 23:08:00
300,931,856,2025-04-28,1351.0,delivered,,,2025-04-28 08:52:00
301,935,835,2025-03-21,303.0,delivered,,,2025-03-21 09:21:00
302,938,688,2025-03-03,313.0,delivered,,,2025-03-03 20:38:00
303,941,543,2025-03-05,303.0,delivered,,,2025-03-05 12:01:00
304,943,190,2025-03-23,682.0,delivered,,,2025-03-23 12:31:00
305,950,1070,2025-03-15,2172.0,cancelled,changed_mind,customer,
306,952,1148,2025-01-23,851.0,delivered,,,2025-01-23 22:39:00
307,954,235,2025-06-25,115.0,delivered,,,2025-06-25 21:57:00
308,958,434,2025-05-08,115.0,delivered,,,2025-05-08 18:49:00
309,959,1171,2025-06-08,779.0,delivered,,,2025-06-08 19:58:00
310,961,633,2025-06-22,0,cancelled,substitute_rejected,customer,
311,962,103,2025-05-24,409.0,delivered,,,2025-05-24 21:25:00
312,963,78,2025-03-11,1024.0,delivered,,,2025-03-11 20:52:00
313,970,1063,2025-04-16,0,cancelled,items_unavailable,system,
314,974,323,2025-01-09,367.0,delivered,,,2025-01-09 14:25:00
315,975,289,2025-05-30,1655.0,delivered,,,2025-05-30 08:06:00
316,976,408,2025-02-09,178.0,delivered,,,2025-02-09 14:26:00
317,979,432,2025-02-14,0,cancelled,items_unavailable,system,
318,983,132,2025-01-11,80.0,delivered,,,2025-01-11 18:03:00
319,985,516,2025-03-23,610.0,delivered,,,2025-03-23 10:20:00
320,987,784,2025-02-19,786.0,delivered,,,2025-02-19 07:57:00
321,988,25,2025-02-12,325.0,delivered,,,2025-02-12 08:31:00
322,989,654,2025-04-02,777.0,delivered,,,2025-04-02 11:14:00
323,993,194,2025-01-20,503.0,delivered,,,2025-01-20 19:27:00
324,994,906,2025-03-22,537.0,cancelled,changed_mind,customer,
325,996,1047,2025-06-29,971.0,cancelled,changed_mind,customer,
326,1000,1028,2025-02-22,663.0,delivered,,,2025-02-22 13:58:00
327,1001,716,2025-06-03,1655.0,delivered,,,2025-06-03 10:02:00
328,1004,284,2025-06-07,374.0,delivered,,,2025-06-07 23:10:00
329,1009,1063,2025-04-13,183.0,delivered,,,2025-04-14 00:28:00
330,1013,27,2025-06-23,346.0,delivered,,,2025-06-23 18:24:00
331,1015,621,2025-06-03,999.0,delivered,,,2025-06-03 08:40:00
332,1016,901,2025-03-20,217.0,delivered,,,2025-03-20 22:39:00
333,1021,744,2025-04-25,312.0,delivered,,,2025-04-25 21:49:00
334,1024,1141,2025-05-03,100.0,cancelled,substitute_rejected,customer,
335,1027,134,2025-04-12,265.0,delivered,,,2025-04-12 11:52:00
336,1031,228,2025-02-06,327.0,cancelled,late_delivery,customer,
337,1033,1072,2025-02-25,329.0,cancelled,address_issue,seller,
338,1034,1174,2025-01-27,412.0,delivered,,,2025-01-27 21:03:00
339,1035,653,2025-01-06,225.0,delivered,,,2025-01-06 09:57:00
340,1040,1041,2025-02-16,2459.0,delivered,,,2025-02-16 21:16:00
341,1042,555,2025-05-29,0,cancelled,items_unavailable,system,
342,1043,8,2025-05-18,275.0,delivered,,,2025-05-18 15:45:00
343,1046,1032,2025-05-10,1097.0,delivered,,,2025-05-10 22:11:00
344,1048,139,2025-03-01,838.0,delivered,,,2025-03-01 09:27:00
345,1049,296,2025-04-30,606.0,delivered,,,2025-04-30 07:26:00
346,1051,1195,2025-05-02,369.0,delivered,,,2025-05-02 16:40:00
347,1053,573,2025-05-07,0,cancelled,substitute_rejected,customer,
348,1055,35,2025-04-25,831.0,delivered,,,2025-04-25 23:20:00
349,1064,384,2025-02-13,1555.0,delivered,,,2025-02-13 08:51:00
350,1068,1072,2025-06-19,329.0,delivered,,,2025-06-20 01:06:00
351,1070,560,2025-02-07,506.0,delivered,,,2025-02-07 08:14:00
352,1073,1147,2025-03-26,265.0,delivered,,,2025-03-26 11:02:00
353,1077,52,2025-03-02,268.0,delivered,,,2025-03-02 07:36:00
354,1086,712,2025-01-12,308.0,delivered,,,2025-01-12 11:37:00
355,1090,956,2025-04-04,849.0,delivered,,,2025-04-04 08:12:00
356,1094,954,2025-01-04,1230.0,delivered,,,2025-01-04 13:12:00
357,1103,157,2025-03-26,444.0,delivered,,,2025-03-26 10:18:00
358,1105,960,2025-04-24,626.0,delivered,,,2025-04-24 10:00:00
359,1107,150,2025-03-25,207.0,delivered,,,2025-03-25 22:09:00
360,1108,381,2025-01-12,897.0,delivered,,,2025-01-12 21:49:00
361,1115,706,2025-01-20,957.0,delivered,,,2025-01-20 07:53:00
362,1121,376,2025-05-28,552.0,delivered,,,2025-05-28 15:09:00
363,1124,1154,2025-04-21,207.0,delivered,,,2025-04-21 20:00:00
364,1126,352,2025-01-20,269.0,delivered,,,2025-01-20 19:07:00
365,1128,122,2025-02-27,322.0,cancelled,payment_failed,system,
366,1133,201,2025-04-25,259.0,delivered,,,2025-04-25 09:20:00
367,1139,16,2025-05-07,313.0,delivered,,,2025-05-07 08:37:00
368,1145,808,2025-01-11,36.0,delivered,,,2025-01-11 11:07:00
369,1147,295,2025-03-24,74.0,delivered,,,2025-03-24 19:20:00
370,1151,1013,2025-02-14,61.0,delivered,,,2025-02-14 16:40:00
371,1157,720,2025-04-17,730.0,delivered,,,2025-04-17 21:03:00
372,1160,278,2025-04-16,688.0,delivered,,,2025-04-16 23:24:00
373,1169,487,2025-06-13,1334.0,delivered,,,2025-06-13 07:01:00
374,1172,1188,2025-01-14,154.0,delivered,,,2025-01-14 10:15:00
375,1173,845,2025-01-13,1085.0,delivered,,,2025-01-13 13:20:00
376,1174,1158,2025-06-11,776.0,delivered,,,2025-06-11 15:02:00
377,1175,863,2025-03-09,264.0,delivered,,,2025-03-09 14:54:00
378,1178,602,2025-06-26,0,cancelled,items_unavailable,system,
379,1179,498,2025-03-11,37.0,delivered,,,2025-03-11 23:54:00
380,1184,317,2025-05-21,116.0,delivered,,,2025-05-21 14:12:00
381,1186,594,2025-06-18,2504.0,cancelled,payment_failed,system,
382,1187,891,2025-04-09,2594.0,delivered,,,2025-04-09 15:52:00
383,1192,93,2025-06-09,286.0,cancelled,address_issue,seller,
384,1195,1142,2025-01-23,2022.0,delivered,,,2025-01-23 23:12:00
385,1196,97,2025-01-01,0,cancelled,substitute_rejected,customer,
386,1200,615,2025-05-10,716.0,delivered,,,2025-05-10 08:58:00
